2020-9-29-19-9-26 : foodHitCount = 1 out of 129 ;  foodHitCellPos = (13 , 1) ; idxToErase = 10 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-9-26 : foodHitCount = 2 out of 129 ;  foodHitCellPos = (13 , 2) ; idxToErase = 16 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-9-53 : foodHitCount = 3 out of 129 ;  foodHitCellPos = (13 , 3) ; idxToErase = 27 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-9-53 : foodHitCount = 4 out of 129 ;  foodHitCellPos = (14 , 3) ; idxToErase = 27 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-10-1 : foodHitCount = 5 out of 129 ;  foodHitCellPos = (15 , 3) ; idxToErase = 27 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-10-2 : foodHitCount = 6 out of 129 ;  foodHitCellPos = (15 , 4) ; idxToErase = 32 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-10-4 : foodHitCount = 7 out of 129 ;  foodHitCellPos = (15 , 5) ; idxToErase = 44 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-10-5 : foodHitCount = 8 out of 129 ;  foodHitCellPos = (16 , 5) ; idxToErase = 44 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-10-5 : foodHitCount = 9 out of 129 ;  foodHitCellPos = (17 , 5) ; idxToErase = 44 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-10-6 : foodHitCount = 10 out of 129 ;  foodHitCellPos = (17 , 4) ; idxToErase = 32 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-10-7 : foodHitCount = 11 out of 129 ;  foodHitCellPos = (17 , 3) ; idxToErase = 27 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-10-8 : foodHitCount = 12 out of 129 ;  foodHitCellPos = (17 , 2) ; idxToErase = 16 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-10-8 : foodHitCount = 13 out of 129 ;  foodHitCellPos = (17 , 1) ; idxToErase = 13 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-10-9 : foodHitCount = 14 out of 129 ;  foodHitCellPos = (16 , 1) ; idxToErase = 12 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-10-10 : foodHitCount = 15 out of 129 ;  foodHitCellPos = (15 , 1) ; idxToErase = 11 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-10-11 : foodHitCount = 16 out of 129 ;  foodHitCellPos = (14 , 1) ; idxToErase = 10 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-12-28 : foodHitCount = 17 out of 129 ;  foodHitCellPos = (12 , 1) ; idxToErase = 9 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-12-48 : foodHitCount = 18 out of 129 ;  foodHitCellPos = (16 , 7) ; idxToErase = 51 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-12-49 : foodHitCount = 19 out of 129 ;  foodHitCellPos = (17 , 7) ; idxToErase = 51 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-29-19-12-50 : foodHitCount = 20 out of 129 ;  foodHitCellPos = (17 , 8) ; idxToErase = 56 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
